lat,lon,rainfall_24h,rainfall_7d
11.51238502484172,76.80576025226935,105.9,289.79
10.316646156206666,76.20532026415033,73.08,41.59
11.802610279482328,76.07124352453677,66.66,144.22
11.211731785703288,75.7409542966169,13.39,22.73
9.52568199834515,77.18696591301756,59.17,169.99
12.207836446781343,76.11960465843171,14.51,129.2
11.43886179559055,76.00820402825637,26.91,103.64
11.53735205704853,75.3320776168006,0.22,44.74
9.215686332910414,76.60710407058635,66.06,161.75
10.343862904359582,76.73179704554802,101.48,270.77
11.576110456302457,76.14467471322904,31.52,158.76
12.045513461142301,76.17830541592639,43.0,298.42
11.022178254981768,75.4725442739739,92.5,56.64
11.657224947711612,76.36473031001285,119.45,12.87
11.50734965924434,76.11923850538706,113.32,317.21
9.548946629598131,76.35715257701996,76.73,273.32
10.70391823569357,76.47379246663928,80.49,60.45
8.984739380813881,76.54050073332198,33.05,294.83
11.686724383482627,75.47548824715943,128.0,122.08
11.001803397257934,76.76017092575503,103.9,196.23
11.43270214815984,75.66576316824549,41.29,34.21
9.994462229964023,75.3552544495441,2.47,61.3
12.202733486227434,76.19400668809688,96.02,108.32
11.932280564407332,75.89629057062076,16.38,54.55
11.53579286280789,76.14018831809327,65.95,317.45
9.426087641016485,76.57869974935981,129.1,191.24
10.395666862496528,75.81934129450897,114.45,176.22
8.909157129440485,76.81783464785661,6.57,194.32
9.291570352635878,75.770377172424,108.71,15.63
9.019571413240572,77.0086384161906,113.61,88.64
11.397228757469815,75.71115037011086,51.5,220.06
12.19143263918291,76.79967784593792,98.59,314.86
9.904258193027463,75.56380999968779,1.62,256.77
10.065738858435166,75.36909583393854,12.23,285.79
10.413773347230336,76.00163274395113,19.42,308.08
9.41297657760387,76.87878716227632,111.67,292.9
9.202585766166623,76.72577765265311,95.35,282.29
10.435124068953185,76.4982834157366,96.42,236.65
11.608488803900782,76.20209801455925,13.6,290.23
11.138806857302544,76.73845754659115,12.98,73.36
10.309197322950004,76.11586757945578,127.3,126.91
11.712586972016048,75.8171136155839,51.3,108.93
11.239203345974932,76.53764957259003,53.19,196.55
9.871963017993242,76.35768722876722,25.58,126.93
11.701345504430758,75.88678562698873,21.17,222.21
11.602097801739914,75.46479362065409,31.67,40.67
