lat,lon,soil_saturation,soil_type,drainage_class
11.5085283105636,76.80320226294381,0.4262,loam,moderate
10.305964031230408,76.21875935926606,0.8636,clay,excellent
11.794767375071327,76.05246091547906,0.4973,clay,good
11.224511040504234,75.73192366324153,0.5769,sandy-loam,moderate
9.52867192417288,77.1963577836268,0.2229,sandy-loam,poor
12.220152762374846,76.12974874530012,0.3152,loam,good
11.459712128339957,75.99498100735843,0.7866,clay,excellent
11.543450119605401,75.33964775757828,0.1905,loam,excellent
9.201577938026135,76.63478409072735,0.5958,clay,poor
10.335026339508966,76.73926979911373,0.5833,clay-loam,poor
11.590603798836671,76.16056436011208,0.5322,sandy-loam,moderate
12.025179903677575,76.1950573210373,0.4047,clay,excellent
11.0319129939131,75.47567352313564,0.3582,loam,poor
11.679050964212887,76.37548186322908,0.5631,sandy-loam,excellent
11.530607397366666,76.14396926365107,0.8281,clay-loam,poor
9.559525643165005,76.36642063824671,0.4383,clay-loam,poor
10.728104880973412,76.46264428939988,0.5846,loam,excellent
8.979767602084644,76.52758536863824,0.4349,clay-loam,moderate
11.676642633069028,75.48122803028195,0.795,clay-loam,moderate
10.98652251543563,76.77684897991023,0.1685,clay,good
11.440121748743524,75.67404618851917,0.2758,loam,good
10.00486920709728,75.36342153322698,0.1809,silty-clay,moderate
12.196645513421378,76.17919374311202,0.2575,silty-clay,poor
11.915904213035702,75.88137995865905,0.8794,clay-loam,moderate
11.539269088075201,76.16423251369326,0.2122,silty-clay,good
9.452109685476723,76.59722938832189,0.4804,clay-loam,moderate
10.392936529811193,75.80846025105502,0.915,silty-clay,excellent
8.891715345409928,76.83081294222048,0.3824,silty-clay,excellent
9.284081139211073,75.77854476408453,0.7949,clay,poor
9.003494730119519,77.02674122992981,0.2699,loam,good
11.406377999209113,75.71156758831465,0.4559,loam,moderate
12.171553065262563,76.81173228171919,0.3892,loam,poor
9.900261440445652,75.57730370397796,0.2226,loam,excellent
10.071367273255829,75.3817575664025,0.9014,loam,excellent
10.430224600567454,75.98496335370858,0.7628,sandy-loam,good
9.42392819260161,76.89976854977895,0.8983,silty-clay,good
9.210709495625077,76.72537574174493,0.4475,sandy-loam,moderate
10.435497693352598,76.48546542818865,0.2096,silty-clay,excellent
11.598382186787607,76.21292053465635,0.6214,clay-loam,poor
11.117565381362438,76.72068921730698,0.9013,clay,poor
10.302361982285415,76.14325868456753,0.9024,clay-loam,poor
11.692481125317824,75.7950945379054,0.1988,clay-loam,poor
11.237998203549097,76.54759335526644,0.5637,loam,good
9.849957594454533,76.36767552968864,0.6257,loam,excellent
11.717987588163137,75.89328938947064,0.2197,silty-clay,poor
11.605048716083921,75.46451747845315,0.4413,sandy-loam,excellent
10.126762546322242,76.48534764127137,0.397,clay-loam,good
9.778750370792913,75.71797961788086,0.3261,loam,good
11.162925230359544,76.81200113161,0.2947,clay,poor
9.246050747884011,75.6861394079524,0.5413,clay,moderate
10.103144446784889,77.05898841838011,0.518,clay,moderate
8.763140830257113,76.63256897433435,0.3255,loam,good
11.596525003858453,76.26444161303759,0.5111,silty-clay,excellent
11.109487376098702,75.5736392176096,0.7831,loam,good
11.261789805550707,76.25685756233861,0.6412,clay-loam,excellent
11.525520023414142,76.69472947438503,0.6601,loam,good
10.392968612036306,75.61042283478956,0.4773,loam,excellent
10.769204115075055,75.80361506943362,0.504,silty-clay,poor
9.253635458636614,76.53278239626142,0.3029,sandy-loam,good
9.163999855058469,76.86676291830359,0.3599,silty-clay,poor
11.136511914141852,76.09081859056442,0.3022,sandy-loam,moderate
10.42327327242891,75.54172077106303,0.7356,clay-loam,good
10.7468435950439,75.3180285392789,0.5184,clay,poor
11.458948834890693,75.66169964411675,0.248,loam,good
11.009400881897822,75.49801349740274,0.5205,sandy-loam,excellent
10.72264657620446,76.39370607066714,0.4951,silty-clay,excellent
11.642222592136429,76.19582431684253,0.2858,sandy-loam,moderate
9.825784648794736,76.10235570408545,0.7289,clay-loam,moderate
8.85258744262056,76.39974660695412,0.4879,loam,moderate
10.296424917015116,76.22186649263206,0.7376,clay-loam,excellent
9.511713544092995,75.6239309953563,0.8177,loam,excellent
10.203682179764353,76.59829262588782,0.8496,silty-clay,excellent
9.432127941732192,77.15413462001273,0.8024,clay-loam,poor
9.579801193820447,76.4822038422709,0.4637,silty-clay,good
8.958539614095317,75.51979079372268,0.2337,loam,poor
9.757702966046876,75.50844119185726,0.916,loam,excellent
9.803954810283898,76.77853051988932,0.4593,loam,moderate
11.10299260922626,75.94928927074612,0.4154,clay,good
10.721353129725143,75.77161190606269,0.3003,loam,poor
11.546317448018046,76.07882086081769,0.7923,clay-loam,good
11.660757634842332,76.26026386739737,0.7752,clay,moderate
10.205071913623309,76.81819887341584,0.6718,clay,excellent
11.631830057216893,75.75160018391499,0.8927,silty-clay,moderate
9.340652577169351,76.77766895469652,0.3448,loam,excellent
8.83878333992208,75.33612472664473,0.793,clay,poor
9.054799079023558,76.19045188858459,0.9154,clay,poor
11.305615636828653,76.31492761796436,0.7737,loam,poor
10.386521207005192,75.4768481200201,0.4361,sandy-loam,poor
9.313379690391184,75.52184481890971,0.5192,loam,excellent
10.532976524173982,75.97629496954156,0.9069,clay-loam,moderate
9.287808596729223,76.85867146846087,0.3393,clay,good
11.229574525672508,76.24160172509836,0.5105,clay-loam,poor
10.324416036471884,76.79175199787423,0.3729,clay-loam,excellent
10.114853499384227,76.59605908313941,0.3548,loam,moderate
11.692641850503524,76.1890511428817,0.8767,silty-clay,moderate
10.97924388980843,76.56602165031875,0.4574,sandy-loam,poor
10.024293014572024,75.33271636457386,0.7528,clay-loam,poor
9.073679081250143,75.48516030842673,0.8033,clay-loam,poor
9.155437032187331,76.63810848999685,0.3855,clay-loam,good
12.172535715661798,76.56375613907561,0.7512,clay-loam,excellent
11.982312700984398,75.67046186960071,0.825,clay-loam,good
9.690643127834502,76.92631517831576,0.9124,clay-loam,poor
9.687474009462738,76.25816063014719,0.3335,sandy-loam,good
12.190734447253213,76.69086165652105,0.4542,clay,excellent
11.526960321588987,76.25737320334635,0.7171,sandy-loam,good
11.295652886492814,75.9507704178541,0.7623,silty-clay,excellent
10.351888422577458,75.91123026935027,0.9078,sandy-loam,moderate
9.720604251138104,75.98062932032676,0.9097,sandy-loam,poor
11.577371247428918,76.11126617133581,0.3687,silty-clay,excellent
11.950722002614047,76.70238436700043,0.8303,loam,moderate
10.376111622315456,76.02134070763708,0.6169,sandy-loam,good
9.478277807295639,75.68227682594863,0.3195,clay,good
9.838051712843903,75.67852793314216,0.1925,silty-clay,moderate
10.81718247670105,76.4795496335006,0.4553,silty-clay,excellent
9.364069801470624,76.6140011940096,0.3484,silty-clay,excellent
11.798362747896714,75.48001608289235,0.3163,silty-clay,good
11.45112242922224,75.39886516341814,0.3277,silty-clay,poor
11.31784895244509,76.25739436841197,0.6394,sandy-loam,good
10.284878678762482,75.53316120534102,0.4961,clay-loam,good
10.967992433755446,76.6311044655806,0.775,clay-loam,moderate
10.825906068544588,75.78576629727702,0.8987,clay-loam,excellent
11.069612360714588,75.52515998418494,0.2802,sandy-loam,poor
11.537700041731354,76.03860331890304,0.2049,clay-loam,excellent
10.213338008206737,75.55382701880498,0.787,loam,good
8.905962833346798,75.75947949197388,0.8293,sandy-loam,good
10.504331161105137,75.55216392312013,0.4945,loam,moderate
9.920036877354896,75.47487552501752,0.7634,loam,moderate
9.25266681686458,75.32622739339179,0.7984,loam,moderate
9.122662031500235,75.39932494358249,0.2099,clay,excellent
10.830368195222249,75.57092502442289,0.6805,loam,excellent
9.349455614567317,75.38747610636501,0.3732,sandy-loam,good
12.037832281157263,76.24914016744127,0.6301,clay,poor
10.818573260024003,76.39438575357062,0.6756,loam,poor
9.979792971371097,75.92707978489261,0.2168,clay,poor
10.845978873712971,75.81607294441902,0.3325,clay,excellent
8.83232769072761,76.1150546297911,0.5139,silty-clay,moderate
10.13359158168139,77.09283911824497,0.8738,clay-loam,poor
10.463036927290545,76.66487051182136,0.7179,clay-loam,poor
11.529180679894175,75.36900784689665,0.8597,sandy-loam,moderate
9.042741115765487,75.60426345501048,0.4969,silty-clay,poor
10.469144558159643,75.66664741991714,0.1504,loam,moderate
10.500087107397496,75.70602411461554,0.1748,sandy-loam,good
