lat,lon,slope_angle
11.499680951925953,76.79801020073107,4.17
10.304226885273573,76.21547747226325,6.47
11.808026372299064,76.04414189768508,42.69
11.213629897408138,75.73746830949496,41.72
9.547687120417597,77.20906077640821,36.3
12.21773384659035,76.1414457345918,7.92
11.453127983144183,76.00268502259378,39.73
11.539412264700992,75.33113201269154,30.14
9.197797295523213,76.6112601310396,23.03
10.346376760587109,76.7258343331595,18.17
11.579291773494788,76.14482486693238,18.7
12.045588010776214,76.18036412389962,43.75
11.048211616872504,75.47314849866572,16.45
11.671866770806348,76.38604096352691,30.71
11.525831754838412,76.13428166828197,45.9
9.550342130761432,76.36212301037635,10.91
10.724619937770768,76.47401295490879,7.81
8.979982651386079,76.51768885951515,33.93
11.675625457138374,75.48546370821045,8.05
11.006175024260603,76.77464547750273,28.12
11.449690200441964,75.6771958306013,43.63
10.00116868747621,75.36256236674264,6.18
12.19946295760263,76.17790269014915,26.86
11.922752896114817,75.89245520876935,25.0
11.537917701700197,76.15897734149537,23.65
9.443955216120164,76.60613944237359,7.27
10.395372670207975,75.79505349887367,30.95
8.903061617568374,76.83286867459584,31.53
9.292736829589641,75.77741953744504,35.55
9.009816048227306,77.01262576053317,15.84
11.383634002931501,75.69897764608443,43.19
12.18279667125741,76.79416930676167,34.11
9.908269813348026,75.57645670773638,36.33
10.064513043347521,75.36814777523215,45.41
10.423455937109228,76.00969113580497,7.21
9.433139335124938,76.89191311900908,7.36
9.21386908394,76.73226651696103,2.54
10.437382026957318,76.507534816467,15.0
11.598756442453956,76.19826942381204,15.28
11.140392937988379,76.73795344457953,6.87
10.316800351731901,76.14154937734754,14.49
11.716114493395152,75.79367906888541,45.96
11.240911654191182,76.53972364184435,5.98
9.870812578873146,76.34452800616455,12.6
11.693812951207963,75.9061554044187,10.72
11.619232615927572,75.45583474007825,3.59
10.11071114058098,76.48141311566887,28.66
9.782609223278149,75.7120934100954,39.37
11.15957599731576,76.8079299564633,42.82
9.254284568786181,75.69149654352846,38.87
10.074504538986412,77.05045346332157,7.5
8.77627198732186,76.63713591924972,29.72
11.620533932992858,76.23965638977323,34.32
11.101011785627781,75.5799520555919,33.24
11.26774323767045,76.26235877461266,4.4
11.525077329225812,76.68556978188735,40.9
10.385438351714125,75.60448930053599,6.04
10.759537242499182,75.81091869202677,22.18
9.254801771803425,76.54793999144911,27.19
9.145935668692658,76.86830301530429,15.26
11.1251710308304,76.10717917626143,30.57
10.435609364098985,75.5196891737796,24.37
10.753709209730443,75.3215231222176,7.25
11.454768782123075,75.6607919143716,15.41
11.001087132412538,75.51424517486953,29.92
10.712561199233452,76.38151737106344,11.58
11.65264918745227,76.19451122733952,3.59
9.82657484944698,76.10935187084573,11.93
8.86157705070985,76.41279305404157,32.89
10.304785186240924,76.23435956644907,15.91
9.520398555168907,75.62111537416408,20.98
10.20405705965069,76.58241896192513,24.56
9.440401170654466,77.17829208660172,46.76
9.580594162577452,76.48298265970709,37.19
8.95140825374851,75.51981387336204,23.74
9.737388518408146,75.48516786025273,39.05
9.778924877578934,76.77751842469443,16.7
11.089993460636226,75.93054191121396,34.68
10.71290462611834,75.79133310958512,39.69
11.529006489523514,76.07134285953428,28.44
11.658590176675947,76.26594758083235,44.17
10.207537292289759,76.8371603580158,15.68
11.645402317039407,75.7644761539758,19.07
9.346980524709934,76.76501531624852,11.2
8.831380508714222,75.32968772534575,9.3
9.079759034470035,76.20299085780343,26.46
11.324547786543851,76.32906982861952,8.23
10.388111535790056,75.46621302747646,5.52
9.33017472075313,75.52255672612193,22.65
10.51822914083134,75.96101071047302,41.91
9.277047437300977,76.8379566279774,14.85
11.221643257798013,76.25626144036544,23.7
10.321378238324517,76.78514717818202,39.12
10.106753013656865,76.59145193648479,31.49
11.707887090571186,76.18674325445164,18.13
10.988689028629905,76.55077521330243,39.16
10.033911942722154,75.33659768204696,39.49
9.061300958059263,75.48691696214131,27.83
9.179429181492841,76.62230350768012,23.95
12.165679040380914,76.56305673279715,19.54
11.987981582188556,75.67615015435725,9.81
9.678465669068288,76.90744809028989,44.07
9.706662176936415,76.26807153296772,15.53
12.193530455331153,76.6736017597304,14.23
11.520656713049538,76.26898454493403,45.2
11.298570902804176,75.95943968704671,35.5
10.35733316876937,75.90531534785305,44.38
9.72491769967246,75.99241538134548,7.02
11.586972405089814,76.09820266098582,26.34
11.958861580015109,76.7020794643049,45.32
10.361652676273957,76.03324761624522,35.0
9.463784730862459,75.6852593939681,3.8
9.844466309560692,75.67835077305062,45.36
10.80517867342954,76.50796035776173,20.11
9.386353843951072,76.5940545996476,26.44
11.800042502137504,75.4811859777832,38.19
11.428853452731031,75.40267524136749,4.14
11.292371962359264,76.25635303087034,33.38
10.292141911684167,75.54484088714997,34.53
10.985972532256874,76.60593161602485,12.32
10.82720472284147,75.80727923741726,2.2
11.057394315783103,75.53551371473476,3.3
11.547040666726602,76.0618690464415,31.55
10.218246028606481,75.5754341902654,17.31
8.908330657344042,75.74952044127427,27.97
10.500575610350477,75.53902618382995,41.01
9.911635114239573,75.47232844960163,17.04
9.269590044903714,75.34305977431758,45.94
9.110971397125393,75.38587091319675,8.02
10.83838438911957,75.59435375461526,32.84
9.358461423518348,75.38218216499114,42.27
12.034083918121542,76.23486111317695,18.08
10.799782046001836,76.38020261400987,2.78
9.979986203593677,75.9338449388798,17.1
10.845361447904187,75.82256203330861,35.09
8.832179441263774,76.10077820548892,41.47
10.12205291350642,77.0747602819155,46.73
10.463063462805849,76.66908014139807,27.99
11.533313233008801,75.3635415979659,12.62
9.038366270139717,75.58006070227694,40.47
10.471134482472973,75.68063647559947,36.85
10.50052455323982,75.69717170908906,22.96
